"X(um)";"Z(um)"
"0,000 ";"97,309 "
"2,790 ";"99,133 "
"5,580 ";"99,112 "
"8,370 ";"105,461 "
"11,160 ";"109,741 "
"13,950 ";"111,768 "
"16,739 ";"113,411 "
"19,529 ";"115,172 "
"22,319 ";"116,044 "
"25,109 ";"116,018 "
"27,899 ";"113,776 "
"30,689 ";"112,872 "
"33,479 ";"112,108 "
"36,269 ";"112,189 "
"39,059 ";"114,237 "
"41,849 ";"118,174 "
"44,638 ";"119,314 "
"47,428 ";"120,686 "
"50,218 ";"122,464 "
"53,008 ";"125,032 "
"55,798 ";"128,369 "
"58,588 ";"122,345 "
"61,378 ";"118,612 "
"64,168 ";"113,428 "
"66,958 ";"114,223 "
"69,748 ";"113,652 "
"72,538 ";"111,993 "
"75,327 ";"109,924 "
"78,117 ";"108,186 "
"80,907 ";"107,408 "
"83,697 ";"106,789 "
"86,487 ";"105,160 "
"89,277 ";"106,411 "
"92,067 ";"107,502 "
"94,857 ";"104,190 "
"97,647 ";"103,272 "
"100,437 ";"107,883 "
"103,227 ";"108,789 "
"106,016 ";"107,642 "
"108,806 ";"105,591 "
"111,596 ";"103,394 "
"114,386 ";"104,825 "
"117,176 ";"108,656 "
"119,966 ";"124,240 "
"122,756 ";"125,669 "
"125,546 ";"122,856 "
"128,336 ";"119,030 "
"131,126 ";"115,896 "
"133,915 ";"113,973 "
"136,705 ";"112,245 "
"139,495 ";"109,850 "
"142,285 ";"110,126 "
"145,075 ";"110,029 "
"147,865 ";"109,182 "
"150,655 ";"108,597 "
"153,445 ";"105,459 "
"156,235 ";"104,358 "
"159,025 ";"105,177 "
"161,815 ";"106,298 "
"164,604 ";"104,897 "
"167,394 ";"103,568 "
"170,184 ";"104,331 "
"172,974 ";"104,099 "
"175,764 ";"103,563 "
"178,554 ";"103,398 "
"181,344 ";"107,051 "
"184,134 ";"107,268 "
"186,924 ";"106,835 "
"189,714 ";"105,693 "
"192,504 ";"104,237 "
"195,293 ";"101,076 "
"198,083 ";"98,544 "
"200,873 ";"96,606 "
"203,663 ";"95,880 "
"206,453 ";"98,692 "
"209,243 ";"102,907 "
"212,033 ";"105,262 "
"214,823 ";"105,061 "
"217,613 ";"103,709 "
"220,403 ";"102,348 "
"223,192 ";"101,005 "
"225,982 ";"100,050 "
"228,772 ";"101,056 "
"231,562 ";"103,448 "
"234,352 ";"105,581 "
"237,142 ";"109,081 "
"239,932 ";"106,488 "
"242,722 ";"109,093 "
"245,512 ";"110,272 "
"248,302 ";"110,210 "
"251,092 ";"109,858 "
"253,881 ";"110,544 "
"256,671 ";"111,794 "
"259,461 ";"107,686 "
"262,251 ";"107,478 "
"265,041 ";"105,397 "
"267,831 ";"102,982 "
"270,621 ";"101,643 "
"273,411 ";"101,531 "
"276,201 ";"102,500 "
"278,991 ";"104,611 "
"281,781 ";"106,286 "
"284,570 ";"107,880 "
"287,360 ";"106,877 "
"290,150 ";"106,062 "
"292,940 ";"104,560 "
"295,730 ";"103,058 "
"298,520 ";"101,651 "
